house_key,address,price,extra_info
house_0,"Nordvestpassagen 47, Riisvangen, 8200 Aarhus N",5.745.000,Villa | 4 vær. | 126/111 m2
house_1,"Hasle Ringvej 44, 8210 Aarhus V",4.198.000,Villa | 4 vær. | 149 m2
house_2,"P. Heises Vej 7, 8000 Aarhus C",32.500.000,Villa | 7 vær. | 308/166 m2
house_3,"Østrevej 5, Hasle, 8210 Aarhus V",5.498.000,Villa | 6 vær. | 111/90 m2
house_4,"Tingvej 41, Hasle, 8210 Aarhus V",4.498.000,Villa | 5 vær. | 123/80 m2
house_5,"Ystadgade 5, 8200 Aarhus N",3.998.000,Villa | 3 vær. | 97/24 m2
house_6,"Farsundsvej 8, Christiansbjerg, 8200 Aarhus N",5.495.000,Villa | 8 vær. | 178/81 m2
house_7,"Lillehammervej 11, Christiansbjerg, 8200 Aarhus N",5.995.000,Villa | 6 vær. | 133/52 m2
house_8,"Randersvej 360, Lisbjerg, 8200 Aarhus N",3.095.000,Villa | 4 vær. | 105/64 m2
house_9,"Bakkefaldet 3, Hasle, 8210 Aarhus V",3.498.000,Villa | 4 vær. | 95 m2
house_10,"Haslegårdsvej 63, 8210 Aarhus V",3.348.000,Villa | 5 vær. | 155/56 m2
house_11,"Ny Tjørnegade 30, 8200 Aarhus N",5.795.000,Villa | 3 vær. | 96/54 m2
house_12,"Majvej 39, 8210 Aarhus V",4.498.000,Villa | 6 vær. | 169 m2
house_13,"Barthsgade 21, Trøjborg, 8200 Aarhus N",10.900.000,Villa | 7 vær. | 183/105 m2
house_14,"Høvej 26A, 8200 Aarhus N",4.895.000,Villa | 6 vær. | 160 m2
house_15,"Minthøjvej 1, Hasle, 8210 Aarhus V",5.748.000,Villa | 6 vær. | 138/45 m2
house_16,"Havtornvej 10A, 8200 Aarhus N",4.295.000,Villa | 5 vær. | 101 m2
house_17,"Narviksgade 11, Christiansbjerg, 8200 Aarhus N",5.295.000,Villa | 4 vær. | 132 m2
house_18,"Herredsvej 10, Hasle, 8210 Aarhus V",4.298.000,Villa | 5 vær. | 138/62 m2
house_19,"Chr. Molbechs Vej 4, 8000 Aarhus C",5.998.000,Villa | 3 vær. | 75/50 m2
house_20,"Østrevej 36, Hasle, 8210 Aarhus V",5.798.000,Villa | 5 vær. | 142/95 m2
house_21,"Brammersgade 25, 8000 Aarhus C",10.000.000,Villa | 7 vær. | 147/51 m2
house_22,"Jernaldervej 314, Holmstrup, 8210 Aarhus V",3.345.000,Villa | 4 vær. | 114 m2
house_23,"Eugen Warmings Vej 7, 8000 Aarhus C",8.150.000,Villa | 5 vær. | 145/80 m2
house_24,"Eugen Warmings Vej 33, 8000 Aarhus C",8.495.000,Villa | 6 vær. | 137/79 m2
house_25,"Nordre Ringgade 70, 8200 Aarhus N",6.998.000,Villa | 13 vær. | 328/117 m2
house_26,"St. Blichers Vej 64, Hasle, 8210 Aarhus V",3.995.000,Villa | 4 vær. | 156 m2
house_27,"Solhøjvej 9, Hasle, 8210 Aarhus V",8.498.000,Villa | 5 vær. | 235 m2
house_28,"Kasted Byvej 8, Kasted, 8200 Aarhus N",1.695.000,Villa | 3 vær. | 92 m2
house_29,"H.N. Clausens Gade 20, 8000 Aarhus C",12.500.000,Villa | 5 vær. | 179/63 m2
house_30,"Laurvigsgade 14, 8200 Aarhus N",3.895.000,Villa | 5 vær. | 126/25 m2
